idx,avg-cnt,avg-t2-f,avg-hum,avg-wind-mph,is-workhour,day-night,hour-name-12,hour-name-12-long
0,290.6,50.4,78.1,8.7,No,Night,12am,12 AM
1,200.6,49.9,79.3,8.5,No,Night,1am,1 AM
2,136.3,49.4,80.3,8.3,No,Night,2am,2 AM
3,94.2,49.0,81.1,8.1,No,Night,3am,3 AM
4,73.3,48.6,81.7,8.1,No,Night,4am,4 AM
5,110.7,48.5,82.1,8.0,No,Night,5am,5 AM
6,466.6,48.6,81.6,8.3,No,Day,6am,6 AM
7,1468.7,49.3,80.0,8.7,No,Day,7am,7 AM
8,2882.8,50.5,77.4,9.2,No,Day,8am,8 AM
9,1653.0,52.1,73.9,10.1,Yes,Day,9am,9 AM
10,1064.7,53.8,70.0,10.7,Yes,Day,10am,10 AM
11,1151.2,55.2,66.7,11.4,Yes,Day,11am,11 AM
12,1433.7,56.3,64.1,11.7,Yes,Day,12pm,12 PM
13,1505.7,57.0,62.4,11.9,Yes,Day,1pm,1 PM
14,1472.0,57.3,61.4,12.1,Yes,Day,2pm,2 PM
15,1564.6,57.3,61.1,11.9,Yes,Day,3pm,3 PM
16,1869.8,57.0,62.0,11.7,Yes,Day,4pm,4 PM
17,2829.6,56.3,63.6,11.3,No,Day,5pm,5 PM
18,2629.0,55.6,65.6,10.9,No,Day,6pm,6 PM
19,1651.5,54.6,68.0,10.5,No,Day,7pm,7 PM
20,1059.8,53.5,70.7,9.9,No,Night,8pm,8 PM
21,741.2,52.5,73.3,9.4,No,Night,9pm,9 PM
22,592.4,51.7,75.2,9.1,No,Night,10pm,10 PM
23,439.7,51.0,76.9,8.8,No,Night,11pm,11 PM
